Time;Angle;RSSI
0.17; -0.48420; -57.00
0.27; -0.43731; -58.00
0.47; -0.43780; -56.00
0.58; -0.44318; -54.00
0.68; -0.45376; -53.00
0.78; -0.44812; -56.00
0.89; -0.44345; -52.00
0.99; -0.44128; -54.00
1.09; -0.43711; -54.00
1.19; -0.43360; -57.00
1.30; -0.43842; -54.00
1.40; -0.46496; -55.00
1.50; -0.52029; -59.00
1.70; -0.70857; -54.00
1.80; -0.83404; -55.00
1.90; -0.98010; -54.00
2.00; -1.14290; -52.00
2.11; -1.33882; -58.00
2.21; -1.50499; -57.00
2.41; -1.76332; -59.00
2.52; -1.87968; -63.00
2.62; -2.00430; -59.00
2.73; -2.15367; -54.00
2.83; -2.31722; -58.00
3.03; -2.71074; -56.00
3.13; -2.91571; -64.00
3.44; 2.89054; -69.00
3.54; 2.77227; -60.00
3.64; 2.61187; -62.00
3.75; 2.43929; -54.00
3.85; 2.24587; -52.00
3.95; 1.99853; -50.00
4.26; 1.26669; -51.00
4.46; 0.90724; -55.00
4.56; 0.75001; -54.00
4.66; 0.57001; -52.00
4.76; 0.39583; -52.00
5.07; -0.19047; -67.00
5.28; -0.52752; -62.00
5.58; -0.92672; -56.00
5.69; -1.07366; -64.00
5.78; -1.21329; -52.00
5.89; -1.38763; -56.00
5.99; -1.57342; -61.00
6.09; -1.75294; -58.00
6.41; -2.30033; -63.00
6.51; -2.42812; -61.00
6.72; -2.72518; -61.00
6.92; -3.06659; -64.00
7.03; 3.00738; -54.00
7.13; 2.82158; -63.00
7.23; 2.63474; -62.00
7.54; 2.20496; -54.00
7.64; 2.07089; -51.00
7.74; 1.91654; -49.00
7.84; 1.74910; -47.00
7.95; 1.55522; -55.00
8.04; 1.33912; -52.00
8.14; 1.12155; -56.00
8.25; 0.94008; -56.00
8.45; 0.64606; -56.00
8.65; 0.39502; -58.00
8.75; 0.26071; -55.00
8.95; -0.06046; -60.00
9.06; -0.25518; -61.00
9.26; -0.52104; -52.00
9.36; -0.63137; -54.00
9.47; -0.72693; -57.00
9.57; -0.80833; -51.00
9.67; -0.90666; -51.00
9.77; -1.01486; -57.00
9.87; -1.13805; -54.00
9.97; -1.29084; -50.00
10.07; -1.46030; -57.00
10.17; -1.62146; -61.00
10.37; -1.89423; -60.00
10.47; -2.00829; -59.00
10.58; -2.10207; -57.00
10.88; -2.42103; -54.00
10.99; -2.57255; -61.00
11.09; -2.72614; -59.00
11.29; -3.09243; -58.00
11.49; 2.90258; -60.00
11.59; 2.78865; -66.00
11.69; 2.69594; -67.00
12.00; 2.47912; -55.00
12.10; 2.38548; -55.00
12.20; 2.26995; -54.00
12.30; 2.14837; -54.00
12.51; 1.94442; -49.00
12.61; 1.85483; -50.00
12.71; 1.78506; -49.00
12.81; 1.71595; -50.00
12.91; 1.64108; -47.00
13.12; 1.49004; -52.00
13.32; 1.32615; -50.00
13.43; 1.24280; -51.00
13.53; 1.14820; -54.00
13.63; 1.05556; -56.00
13.73; 0.94919; -56.00
14.14; 0.73742; -59.00
14.34; 0.67642; -62.00
14.45; 0.63722; -55.00
14.55; 0.59739; -60.00
14.65; 0.53762; -58.00
14.75; 0.45970; -55.00
14.95; 0.30631; -58.00
15.05; 0.23495; -68.00
15.16; 0.16322; -72.00
15.26; 0.07877; -56.00
15.36; -0.01674; -57.00
15.56; -0.21467; -51.00
15.66; -0.32531; -52.00
15.76; -0.42744; -54.00
15.87; -0.53789; -47.00
15.97; -0.65023; -51.00
16.07; -0.75307; -51.00
16.48; -1.05491; -55.00
16.68; -1.12137; -57.00
16.88; -1.23012; -53.00
16.98; -1.30298; -58.00
17.09; -1.38667; -56.00
17.19; -1.45796; -65.00
17.39; -1.62341; -60.00
17.49; -1.71083; -64.00
17.70; -1.94897; -56.00
18.01; -2.27070; -66.00
18.11; -2.34286; -57.00
18.21; -2.41123; -57.00
18.31; -2.48861; -56.00
18.52; -2.57796; -62.00
18.72; -2.72929; -62.00
18.82; -2.81942; -64.00
19.02; -3.06872; -61.00
19.23; 2.97857; -60.00
19.43; 2.82090; -57.00
19.64; 2.70931; -80.00
19.74; 2.65704; -66.00
19.94; 2.54910; -63.00
20.05; 2.48176; -60.00
20.25; 2.34284; -55.00
20.35; 2.26526; -53.00
20.45; 2.16008; -52.00
20.65; 1.93956; -49.00
20.75; 1.84880; -49.00
20.96; 1.64805; -50.00
21.06; 1.56496; -54.00
21.17; 1.50224; -55.00
21.27; 1.44695; -54.00
21.37; 1.39902; -55.00
21.47; 1.36484; -48.00
21.78; 1.15298; -50.00
21.98; 0.88533; -60.00
22.19; 0.54594; -56.00
22.49; 0.10796; -55.00
22.80; -0.19536; -58.00
22.90; -0.20195; -56.00
23.10; -0.26398; -60.00
23.20; -0.33191; -59.00
23.30; -0.35055; -52.00
23.40; -0.35877; -56.00
23.61; -0.37193; -57.00